import time: self [us] | cumulative | imported package
import time:     48815 |      78064 |               numpy.lib._type_check_impl
import time:     61314 |     139377 |             numpy.lib._scimath_impl
import time:    250771 |     390147 |           numpy.lib.scimath
import time:     26656 |      26656 |             numpy.lib._stride_tricks_impl
import time:     67812 |      94468 |           numpy.lib.stride_tricks
import time:    201123 |     201123 |                   numpy.linalg.linalg
import time:    103470 |     103470 |                     numpy.lib._twodim_base_impl
import time:      2930 |       2930 |                     numpy.linalg._umath_linalg
import time:       797 |        797 |                       __future__
import time:     41032 |      41032 |                       numpy._typing._nested_sequence
import time:     35788 |      35788 |                       numpy._typing._nbit
import time:     40430 |      40430 |                       numpy._typing._char_codes
import time:     50135 |      50135 |                       numpy._typing._scalars
import time:     46328 |      46328 |                       numpy._typing._shape
import time:     76744 |      76744 |                       numpy._typing._dtype_like
import time:     24168 |      24168 |                       numpy._typing._array_like
import time:    100354 |     415771 |                     numpy._typing
import time:     76326 |     598495 |                   numpy.linalg._linalg
import time:     39397 |     839014 |                 numpy.linalg
import time:     60803 |     899817 |               numpy.matrixlib.defmatrix
import time:     29675 |     929492 |             numpy.matrixlib
import time:     39369 |      39369 |               numpy.lib._histograms_impl
import time:     59223 |      98591 |             numpy.lib._function_base_impl
import time:     50416 |    1078498 |           numpy.lib._index_tricks_impl
import time:     26857 |      26857 |           numpy.lib._nanfunctions_impl
import time:     37729 |      37729 |           numpy.lib._shape_base_impl
import time:     47812 |      47812 |           numpy.lib._arraysetops_impl
import time:     40063 |      40063 |           numpy.lib._polynomial_impl
import time:     25239 |      25239 |           numpy.lib._arrayterator_impl
import time:     36188 |      36188 |           numpy.lib._arraypad_impl
import time:     41402 |      41402 |           numpy.lib._version
import time:     74516 |    2399544 |         numpy.lib
import time:     67684 |    5050976 |       numpy
import time:     39280 |      39280 |           scipy.__config__
import time:     45441 |      45441 |           scipy.version
import time:       263 |        263 |             scipy._distributor_init_local
import time:     62242 |      62505 |           scipy._distributor_init
import time:     54035 |      54035 |               sysconfig
import time:      1047 |       1047 |               _sysconfigdata__darwin_darwin
import time:       846 |        846 |               _osx_support
import time:     61717 |     117643 |             scipy._lib._testutils
import time:     57901 |     175544 |           scipy._lib
import time:     51961 |      51961 |           scipy._lib._pep440
import time:     38502 |      38502 |             scipy._lib._ccallback_c
import time:      8277 |      46778 |           scipy._lib._ccallback
import time:     54910 |     476417 |         scipy
import time:     46351 |      46351 |                   scipy._lib.array_api_compat.common._helpers
import time:     37581 |      83932 |                 scipy._lib.array_api_compat.common
import time:     48683 |     132615 |               scipy._lib.array_api_compat
import time:       248 |        248 |                       gc
import time:       403 |        403 |                         backports_abc
import time:    120021 |     120424 |                       numpy.random._common
import time:      4531 |       4531 |                           binascii
import time:      1567 |       6098 |                         base64
import time:     16368 |      16368 |                           _hashlib
import time:      2869 |       2869 |                             _blake2
import time:      1441 |       4309 |                           hashlib
import time:      1125 |      21801 |                         hmac
import time:      2071 |       2071 |                             _bisect
import time:       640 |       2710 |                           bisect
import time:      3284 |       3284 |                           _random
import time:      2323 |       2323 |                           _sha512
import time:      1558 |       9874 |                         random
import time:      2411 |      40181 |                       secrets
import time:    121661 |     282513 |                     numpy.random.bit_generator
import time:    134442 |     134442 |                       numpy.random._bounded_integers
import time:    157032 |     157032 |                       numpy.random._mt19937
import time:    341455 |     632928 |                     numpy.random.mtrand
import time:     88937 |      88937 |                     numpy.random._philox
import time:    118192 |     118192 |                     numpy.random._pcg64
import time:     38260 |      38260 |                     numpy.random._sfc64
import time:    247650 |     247650 |                     numpy.random._generator
import time:    169333 |    1577810 |                   numpy.random._pickle
import time:    469452 |    2047262 |                 numpy.random
import time:      2593 |       2593 |                       traceback
import time:      7579 |       7579 |                       unittest.util
import time:      4910 |      15081 |                     unittest.result
import time:     11825 |      11825 |                       difflib
import time:      5988 |       5988 |                       pprint
import time:      7801 |      25613 |                     unittest.case
import time:      7044 |       7044 |                     unittest.suite
import time:      7112 |       7112 |                       fnmatch
import time:     38251 |      45363 |                     unittest.loader
import time:      4685 |       4685 |                         gettext
import time:     16152 |      20837 |                       argparse
import time:      1357 |       1357 |                         unittest.signals
import time:      1287 |       2643 |                       unittest.runner
import time:      4472 |      27950 |                     unittest.main
import time:      2810 |     123859 |                   unittest
import time:    256620 |     256620 |                   numpy.testing._private
import time:      3961 |       3961 |                       zlib
import time:      2406 |       2406 |                         _compression
import time:      5764 |       5764 |                         _bz2
import time:      1555 |       9724 |                       bz2
import time:      4526 |       4526 |                         _lzma
import time:       725 |       5250 |                       lzma
import time:      2434 |      21368 |                     shutil
import time:       979 |        979 |                     tempfile
import time:    142604 |     164951 |                   numpy.testing._private.utils
import time:       913 |        913 |                         nt
import time:       296 |        296 |                         nt
import time:       148 |        148 |                         nt
import time:       139 |        139 |                         nt
import time:      3906 |       5400 |                       ntpath
import time:       953 |        953 |                         urllib
import time:      4280 |       5233 |                       urllib.parse
import time:     22194 |      32826 |                     pathlib
import time:    177320 |     210146 |                   numpy.testing._private.extbuild
import time:    110216 |     110216 |                   numpy.testing.overrides
import time:    560455 |    1426245 |                 numpy.testing
import time:     12516 |      12516 |                     numpy.fft._pocketfft_umath
import time:     46483 |      58998 |                   numpy.fft._pocketfft
import time:     63163 |      63163 |                   numpy.fft._helper
import time:     27732 |      27732 |                   numpy.fft.helper
import time:     75477 |     225369 |                 numpy.fft
import time:      4825 |       4825 |                   numpy._typing._add_docstring
import time:      2334 |       7158 |                 numpy.typing
import time:     75423 |      75423 |                 numpy.rec
import time:      3786 |       3786 |                 numpy.ctypeslib
import time:       713 |        713 |                       numpy._core.strings
import time:     49786 |      50499 |                     numpy.strings
import time:    234306 |     284804 |                   numpy._core.defchararray
import time:    299295 |     584098 |                 numpy.char
import time:     45347 |      45347 |                     numpy.polynomial.polyutils
import time:     24311 |      24311 |                     numpy.polynomial._polybase
import time:     38281 |     107939 |                   numpy.polynomial.polynomial
import time:     44023 |      44023 |                   numpy.polynomial.chebyshev
import time:     38839 |      38839 |                   numpy.polynomial.legendre
import time:     26061 |      26061 |                   numpy.polynomial.hermite
import time:     26711 |      26711 |                   numpy.polynomial.hermite_e
import time:     26216 |      26216 |                   numpy.polynomial.laguerre
import time:     53788 |     323573 |                 numpy.polynomial
import time:       141 |        141 |                         _string
import time:      3595 |       3736 |                       string
import time:       800 |        800 |                       fileinput
import time:        87 |         87 |                           atexit
import time:      6336 |       6422 |                         logging
import time:     43517 |      43517 |                             charset_normalizer.constant
import time:     48303 |      48303 |                               charset_normalizer.md__mypyc
import time:      2317 |       2317 |                                 unicodedata
import time:      3527 |       3527 |                                 _multibytecodec
import time:     70680 |      76524 |                               charset_normalizer.utils
import time:     42495 |     167321 |                             charset_normalizer.md
import time:     18675 |      18675 |                             charset_normalizer.models
import time:     49912 |     279423 |                           charset_normalizer.cd
import time:     52852 |     332275 |                         charset_normalizer.api
import time:     39035 |      39035 |                         charset_normalizer.legacy
import time:     56906 |      56906 |                         charset_normalizer.version
import time:     58458 |     493093 |                       charset_normalizer
