accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,fold,configuration,feature_count
0.8333333333333334,0.7159552845528455,0.49056603773584906,0.5416666666666666,0.5148514851485149,0.7994579945799458,0.5182777092996943,1,Config A: Standard IBM Features (26),26
0.8333333333333334,0.7411077235772358,0.4915254237288136,0.6041666666666666,0.5420560747663551,0.8154640921409214,0.6119939229482987,2,Config A: Standard IBM Features (26),26
0.8469387755102041,0.7280127487294341,0.52,0.5531914893617021,0.5360824742268041,0.838142820225687,0.6313757930988434,3,Config A: Standard IBM Features (26),26
0.8571428571428571,0.7254716168489965,0.5555555555555556,0.5319148936170213,0.5434782608695652,0.8389180807993799,0.5954837344330158,4,Config A: Standard IBM Features (26),26
0.8401360544217688,0.7498061848565768,0.5,0.6170212765957447,0.5523809523809524,0.7878370229993971,0.5597899257876557,5,Config A: Standard IBM Features (26),26
0.8435374149659864,0.7220528455284553,0.52,0.5416666666666666,0.5306122448979592,0.817920054200542,0.5307622135241878,1,Config B: Raw + Regional Features (45),45
0.8299319727891157,0.7055386178861789,0.4807692307692308,0.5208333333333334,0.5,0.808180894308943,0.5502474223535776,2,Config B: Raw + Regional Features (45),45
0.891156462585034,0.7112585063312946,0.7777777777777778,0.44680851063829785,0.5675675675675675,0.8203979670944958,0.638587432754735,3,Config B: Raw + Regional Features (45),45
0.8775510204081632,0.7462313722112155,0.6341463414634146,0.5531914893617021,0.5909090909090909,0.8238435696442415,0.6500474094282731,4,Config B: Raw + Regional Features (45),45
0.8367346938775511,0.721939874235507,0.49056603773584906,0.5531914893617021,0.52,0.8005857524334569,0.5386802836283373,5,Config B: Raw + Regional Features (45),45
0.8435374149659864,0.7052845528455285,0.5217391304347826,0.5,0.5106382978723404,0.8100440379403794,0.5349401409485479,1,Config C: Full 52 Features (+ 7 Ratios),52
0.8163265306122449,0.7057926829268293,0.4482758620689655,0.5416666666666666,0.49056603773584906,0.8115684281842818,0.5678219404995009,2,Config C: Full 52 Features (+ 7 Ratios),52
0.8503401360544217,0.6955810147299509,0.5365853658536586,0.46808510638297873,0.5,0.8353001981221466,0.6456709316199783,3,Config C: Full 52 Features (+ 7 Ratios),52
0.8639455782312925,0.7295201998449479,0.5813953488372093,0.5319148936170213,0.5555555555555556,0.815660263588595,0.6110594502320069,4,Config C: Full 52 Features (+ 7 Ratios),52
0.8163265306122449,0.6839521061245585,0.4339622641509434,0.48936170212765956,0.46,0.7628564045137393,0.5171214633411547,5,Config C: Full 52 Features (+ 7 Ratios),52
