Metric,Value
Accuracy,0.8862275449101796
Precision,0.6296296296296297
Recall,0.6538461538461539
F1 Score,0.6415094339622641
Balanced Accuracy,0.7914620840152755
ROC-AUC,0.9028914348063284
PR-AUC,0.6577210212926492
MCC,0.5740667482993472
Specificity,0.9290780141843972
Decision Threshold,0.22999999999999993
